,name,price,source,model,Category
0,"Apple iPhone 11 Black, 64GB Storage","₹ 48,999.00",Amazon,MHDA3HN/A,IPhone 11
1,"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)","₹ 15,999.00",Amazon,SM-M315FZKDINS,Not Available
2,"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","₹ 13,999.00",Amazon,SM-M215FZKDINS,Smartphone
3,"Redmi Note 9 (Aqua Green, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹ 10,999.00",Amazon,Redmi Note 9,Smartphone
4,"OPPO A31 (Mystery Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹ 10,990.00",Amazon,CPH2015,Smartphone
5,"Vivo Y20 (Purist Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹ 13,990.00",Amazon,vivo 2029,Mobile
6,"Samsung Galaxy M02 (Blue,3GB RAM, 32GB Storage)","₹ 7,499.00",Amazon,SM-M022GZBDINS,Smart Phone
7,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","₹ 8,799.00",Amazon,Redmi 9,Smartphone
8,"Redmi 9 Prime (Mint Green, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","₹ 9,499.00",Amazon,Redmi 9 Prime,Smartphone
9,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","₹ 6,999.00",Amazon,Redmi 9A (2GB+32GB),Smartphone
10,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹ 10,999.00",Amazon,Redmi Note 9,Smartphone
11,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹ 12,999.00",Amazon,Redmi Note 9 Pro,Smart Phones
12,"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","₹ 6,999.00",Amazon,Redmi 9A (2GB+32GB),Smartphone
13,"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","₹ 7,499.00",Amazon,Redmi 9A (3GB+32GB),Smartphone
14,"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹ 11,990.00",Amazon,CPH2015,Smartphone
15,"Redmi 9 Prime (Space Blue, 64 GB)  (4 GB RAM)","₹ 9,499",Flipkart,M2004J191 / M2004J19I / MZB9763IN,Smartphones
16,"Redmi 9 Prime (Mint Green, 64 GB)  (4 GB RAM)","₹ 9,499",Flipkart,M2004J191 / M2004J19I / MZB9765IN,Smartphones
17,"Redmi 9 Prime (Matte Black, 64 GB)  (4 GB RAM)","₹ 9,499",Flipkart,M2004J19I / M2004J19l / MZB9761IN,Smartphones
18,"Redmi 9 Prime (Sunrise Flare, 64 GB)  (4 GB RAM)","₹ 9,499",Flipkart,M2004j19I / M2004J191 / MZB9767IN,Smartphones
19,"Redmi 9A (Midnight Black, 32 GB)  (2 GB RAM)","₹ 7,319",Flipkart,M2006C3LI,Smartphones
20,"Redmi Note 8 (Neptune Blue, 64 GB)  (4 GB RAM)","₹ 12,569",Flipkart,MZB8191IN / MZB07R4IN,Smartphones
21,"Redmi 9A (Nature Green, 32 GB)  (2 GB RAM)","₹ 7,364",Flipkart,M2006C3LI,Smartphones
22,"Redmi 9 (Carbon Black, 64 GB)  (4 GB RAM)","₹ 9,152",Flipkart,M2006C3MII,Smartphones
23,"Redmi Note 9 Pro Max (Interstellar Black, 64 GB)  (6 GB RAM)","₹ 14,999",Flipkart,M2003J6B1I / MZB9150IN,Smartphones
24,"Redmi Note 9 Pro Max (Champagne Gold, 64 GB)  (6 GB RAM)","₹ 14,999",Flipkart,M2003J6B1I / MZB9589IN,Smartphones
25,"Redmi 9 (CarbonBlack, 128 GB)  (4 GB RAM)","₹ 10,390",Flipkart,M2006C3MII,Smartphones
26,"Redmi 9i (Sea Blue, 64 GB)  (4 GB RAM)","₹ 7,999",Flipkart,MZB080TIN / MZB0815IN,Smartphones
27,"Redmi 9i (Nature Green, 64 GB)  (4 GB RAM)","₹ 7,999",Flipkart,MZB0817IN / MZB080UIN,Smartphones
28,"Redmi 9 (Sky Blue, 64 GB)  (4 GB RAM)","₹ 9,182",Flipkart,M2006C3MII,Smartphones
29,"Redmi 9A (SeaBlue, 32 GB)  (2 GB RAM)","₹ 7,309",Flipkart,m2006C3LI,Smartphones
